Laptop_ID,Laptop,Status,Brand,Model,CPU,RAM,Storage,Storage type,GPU,Screen,Touch,Final Price (LKR),Region
LNK-0734,HP EliteBook 840,New,HP,EliteBook 840,Intel Core Ultra 7 155H,8GB,1TB,SSD NVMe,Intel Iris Xe Graphics,"16.0"" WQXGA 165Hz",No,283500,Kandy
LNK-0735,ASUS ExpertBook B1,Used,ASUS,ExpertBook B1,Intel Core i7-14700HX,64GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4070,"16.0"" UHD+ OLED",No,277000,Kurunegala
LNK-0736,Microsoft Surface Laptop 5,New,Microsoft,Surface Laptop 5,Intel Core i7-14700HX,16GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4090,"16.0"" UHD+ OLED",No,759000,Kandy
LNK-0737,Dell XPS 15,New,Dell,XPS 15,AMD Ryzen 5 5500U,32GB,512GB,SSD NVMe,Intel Iris Xe Graphics,"16.0"" UHD+ OLED",No,240500,Galle
LNK-0738,MSI Modern 14,New,MSI,Modern 14,Intel Core i3-1215U,8GB,512GB,SSD NVMe,NVIDIA GeForce RTX 2050,"15.6"" FHD 60Hz",No,116000,Colombo
LNK-0739,ASUS Vivobook 15,Used,ASUS,Vivobook 15,AMD Ryzen 7 7730U,32GB,512GB,SSD NVMe,Intel Iris Xe Graphics,"16.0"" WQXGA 165Hz",No,136000,Negombo
LNK-0740,ASUS ExpertBook B1,Used,ASUS,ExpertBook B1,AMD Ryzen 7 7730U,64GB,2TB,SSD NVMe,Intel Iris Xe Graphics,"15.6"" FHD 60Hz",No,182500,Anuradhapura
LNK-0741,Acer Nitro V 15,Used,Acer,Nitro V 15,AMD Ryzen 9 7945HX,64GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4080,"15.6"" FHD 60Hz",No,418000,Colombo
LNK-0742,Acer TravelMate P2,Used,Acer,TravelMate P2,Intel Core i9-14900HX,64GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4080,"14.0"" QHD 120Hz",No,371000,Colombo
LNK-0743,Gigabyte G5 KF,Refurbished,Gigabyte,G5 KF,AMD Ryzen 7 7840HS,8GB,256GB,SSD NVMe,Intel Iris Xe Graphics,"14.0"" QHD 120Hz",No,149000,Kandy
LNK-0744,MSI Raider GE78,New,MSI,Raider GE78,AMD Ryzen 5 7640HS,64GB,1TB,SSD NVMe,Intel Iris Xe Graphics,"14.0"" FHD",No,247500,Colombo
LNK-0745,Lenovo Legion 5 Pro,Refurbished,Lenovo,Legion 5 Pro,Intel Core i5-1235U,8GB,1TB,SSD NVMe,NVIDIA GeForce RTX 3050,"16.0"" UHD+ OLED",No,160000,Galle
LNK-0746,Apple MacBook Air M2,Used,Apple,MacBook Air M2,Apple M1 (8-core),8GB,512GB,SSD NVMe,Apple M1 Integrated,"13.3"" FHD",No,126500,Colombo
LNK-0747,Apple MacBook Pro M2 Pro,New,Apple,MacBook Pro M2 Pro,Apple M1 (8-core),16GB,512GB,SSD NVMe,Apple M1 Integrated,"13.3"" FHD",No,240000,Kandy
LNK-0748,Apple MacBook Air M1,New,Apple,MacBook Air M1,Apple M3 Pro (11-core),16GB,1TB,SSD NVMe,Apple M3 Pro Integrated,"16.0"" WQXGA 165Hz",No,378000,Colombo
LNK-0749,MSI Katana 17,Refurbished,MSI,Katana 17,Intel Core Ultra 7 155H,32GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4060,"16.0"" WQXGA 165Hz",No,374000,Negombo
LNK-0750,Dell Latitude 3540,Used,Dell,Latitude 3540,AMD Ryzen 7 7840HS,8GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4060,"13.3"" FHD",No,157500,Galle
LNK-0751,Acer Aspire 5,Used,Acer,Aspire 5,AMD Ryzen 7 7840HS,64GB,256GB,SSD NVMe,Intel Iris Xe Graphics,"13.3"" FHD",No,166000,Colombo
LNK-0752,Samsung Galaxy Book4 Pro,Refurbished,Samsung,Galaxy Book4 Pro,AMD Ryzen 9 7945HX,8GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4070,"16.0"" WQXGA 165Hz",No,334000,Colombo
LNK-0753,Dell Vostro 3520,Used,Dell,Vostro 3520,Intel Core Ultra 7 155H,16GB,256GB,SSD NVMe,AMD Radeon Graphics,"14.0"" QHD 120Hz",No,151000,Colombo
LNK-0754,Gigabyte Aero 14 OLED,New,Gigabyte,Aero 14 OLED,AMD Ryzen 5 5500U,8GB,1TB,SSD NVMe,Intel Iris Xe Graphics,"16.0"" UHD+ OLED",No,231500,Kandy
LNK-0755,HP EliteBook 840,Refurbished,HP,EliteBook 840,Intel Core i7-13700H,8GB,256GB,SSD NVMe,Intel Iris Xe Graphics,"17.3"" QHD 240Hz",No,148500,Colombo
LNK-0756,Microsoft Surface Laptop Studio 2,New,Microsoft,Surface Laptop Studio 2,AMD Ryzen 5 5500U,8GB,2TB,SSD NVMe,AMD Radeon Graphics,"14.0"" QHD 120Hz",Yes,248500,Negombo
LNK-0757,Acer Nitro V 15,New,Acer,Nitro V 15,Intel Core i5-13420H,64GB,256GB,SSD NVMe,NVIDIA GeForce RTX 2050,"15.6"" FHD 144Hz",No,252000,Anuradhapura
LNK-0758,MSI Thin 15,New,MSI,Thin 15,Intel Core i9-14900HX,16GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4080,"15.6"" FHD 144Hz",No,734500,Colombo
LNK-0759,Dell Inspiron 15,Refurbished,Dell,Inspiron 15,AMD Ryzen 9 7945HX,64GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4090,"14.0"" QHD 120Hz",No,632500,Colombo
LNK-0760,Apple MacBook Pro M3 Max,New,Apple,MacBook Pro M3 Max,Apple M3 Pro (11-core),16GB,1TB,SSD NVMe,Apple M3 Pro Integrated,"14.0"" QHD 120Hz",No,385500,Colombo
LNK-0761,Microsoft Surface Laptop Studio 2,Refurbished,Microsoft,Surface Laptop Studio 2,Intel Core i5-13420H,64GB,1TB,SSD NVMe,NVIDIA GeForce RTX 3050,"14.0"" QHD 120Hz",No,204000,Colombo
LNK-0762,HP Pavilion 15,Used,HP,Pavilion 15,AMD Ryzen 5 5500U,64GB,512GB,SSD NVMe,Intel Graphics,"17.3"" QHD 240Hz",No,140500,Negombo
LNK-0763,HP Spectre x360,Refurbished,HP,Spectre x360,AMD Ryzen 7 7730U,8GB,2TB,SSD NVMe,AMD Radeon Graphics,"14.0"" QHD 120Hz",Yes,216000,Anuradhapura
LNK-0764,Acer Aspire 5,Used,Acer,Aspire 5,AMD Ryzen 7 7730U,32GB,256GB,SSD NVMe,NVIDIA GeForce RTX 3050,"14.0"" FHD",No,126500,Negombo
LNK-0765,Samsung Galaxy Book4 Pro,Refurbished,Samsung,Galaxy Book4 Pro,Intel Core i7-13620H,64GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4070,"15.6"" FHD 144Hz",No,384500,Negombo
LNK-0766,ASUS ZenBook 14,Used,ASUS,ZenBook 14,AMD Ryzen 7 7840HS,16GB,512GB,SSD NVMe,Intel Iris Xe Graphics,"13.3"" FHD",No,117000,Negombo
LNK-0767,Gigabyte Aero 14 OLED,Refurbished,Gigabyte,Aero 14 OLED,Intel Core Ultra 7 155H,32GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4060,"14.0"" QHD 120Hz",No,353500,Colombo
LNK-0768,HP Victus 16,Used,HP,Victus 16,Intel Core i3-1215U,8GB,2TB,SSD NVMe,Intel Iris Xe Graphics,"14.0"" QHD 120Hz",No,90000,Negombo
LNK-0769,MSI Raider GE78,Used,MSI,Raider GE78,AMD Ryzen 9 7945HX,32GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4090,"16.0"" UHD+ OLED",No,460500,Colombo
LNK-0770,Dell Inspiron 15,New,Dell,Inspiron 15,Intel Core i7-13620H,8GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4050,"15.6"" FHD 60Hz",No,259000,Kandy
LNK-0771,Lenovo Legion 5 Pro,Used,Lenovo,Legion 5 Pro,Intel Core i9-14900HX,8GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4080,"14.0"" QHD 120Hz",No,318000,Kandy
LNK-0772,Dell XPS 13,Used,Dell,XPS 13,AMD Ryzen 7 7840HS,64GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4050,"17.3"" QHD 240Hz",No,222500,Galle
LNK-0773,Microsoft Surface Pro 9,New,Microsoft,Surface Pro 9,AMD Ryzen 5 5500U,8GB,256GB,SSD NVMe,NVIDIA GeForce RTX 2050,"16.0"" UHD+ OLED",No,192000,Colombo
LNK-0774,Microsoft Surface Laptop Studio 2,Used,Microsoft,Surface Laptop Studio 2,AMD Ryzen 3 7320U,8GB,2TB,SSD SATA,NVIDIA GeForce RTX 2050,"17.3"" QHD 240Hz",Yes,108000,Colombo
LNK-0775,Samsung Galaxy Book3,Refurbished,Samsung,Galaxy Book3,AMD Ryzen 5 5500U,8GB,1TB,SSD NVMe,NVIDIA GeForce RTX 2050,"17.3"" QHD 240Hz",No,127500,Colombo
LNK-0776,MSI Thin 15,New,MSI,Thin 15,AMD Ryzen 3 7320U,16GB,2TB,SSD SATA,NVIDIA GeForce RTX 2050,"15.6"" FHD 60Hz",No,187500,Colombo
LNK-0777,Apple MacBook Pro M3 Max,Used,Apple,MacBook Pro M3 Max,Apple M3 Pro (11-core),16GB,512GB,SSD NVMe,Apple M3 Pro Integrated,"14.0"" QHD 120Hz",No,210500,Negombo
LNK-0778,MSI Prestige 14,Used,MSI,Prestige 14,AMD Ryzen 5 7520U,64GB,512GB,SSD NVMe,NVIDIA GeForce RTX 3050,"15.6"" FHD 60Hz",No,142500,Colombo
LNK-0779,Gigabyte G5 KF,New,Gigabyte,G5 KF,Intel Core i9-14900HX,16GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4070,"16.0"" UHD+ OLED",No,589000,Colombo
LNK-0780,Lenovo ThinkPad E14,Used,Lenovo,ThinkPad E14,Intel Core i5-1235U,8GB,1TB,SSD NVMe,AMD Radeon Graphics,"16.0"" WQXGA 165Hz",No,89500,Jaffna
LNK-0781,Samsung Galaxy Book3,New,Samsung,Galaxy Book3,AMD Ryzen 5 5500U,64GB,256GB,SSD NVMe,NVIDIA GeForce RTX 3050,"15.6"" FHD 60Hz",Yes,259000,Colombo
LNK-0782,Apple MacBook Air M3,New,Apple,MacBook Air M3,Apple M3 Max (14-core),64GB,1TB,SSD NVMe,Apple M3 Max Integrated,"16.0"" WQXGA 165Hz",No,489500,Colombo
LNK-0783,Microsoft Surface Laptop Studio 2,New,Microsoft,Surface Laptop Studio 2,Intel Core i5-1235U,64GB,2TB,SSD NVMe,Intel Iris Xe Graphics,"14.0"" FHD",Yes,347000,Kandy
LNK-0784,ASUS ROG Zephyrus G14,New,ASUS,ROG Zephyrus G14,Intel Core i7-14700HX,8GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4080,"14.0"" QHD 120Hz",No,537000,Colombo
LNK-0785,Samsung Galaxy Book4 Pro,Used,Samsung,Galaxy Book4 Pro,Intel Core i7-13620H,16GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4070,"14.0"" QHD 120Hz",Yes,240500,Kandy
LNK-0786,MSI Thin 15,New,MSI,Thin 15,AMD Ryzen 9 7945HX,32GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4090,"14.0"" QHD 120Hz",No,881000,Kandy
LNK-0787,MSI Katana 17,Used,MSI,Katana 17,Intel Core Ultra 5 125H,16GB,2TB,SSD NVMe,Intel Graphics,"14.0"" QHD 120Hz",No,149000,Kandy
LNK-0788,MSI Prestige 14,Used,MSI,Prestige 14,AMD Ryzen 5 7520U,8GB,2TB,SSD NVMe,Intel Graphics,"13.3"" FHD",No,115500,Negombo
LNK-0789,HP Pavilion 15,Refurbished,HP,Pavilion 15,AMD Ryzen 5 5500U,64GB,512GB,SSD NVMe,NVIDIA GeForce RTX 2050,"13.3"" FHD",No,173500,Galle
LNK-0790,Dell Latitude 3540,New,Dell,Latitude 3540,AMD Ryzen 3 7320U,64GB,2TB,eMMC,NVIDIA GeForce RTX 3050,"15.6"" FHD 144Hz",No,252000,Kandy
LNK-0791,Apple MacBook Air M1,Refurbished,Apple,MacBook Air M1,Apple M3 Max (14-core),32GB,2TB,SSD NVMe,Apple M3 Max Integrated,"14.0"" QHD 120Hz",No,345000,Colombo
LNK-0792,Samsung Galaxy Book4 Ultra,Used,Samsung,Galaxy Book4 Ultra,AMD Ryzen 7 7840HS,32GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4060,"15.6"" FHD 144Hz",No,221500,Colombo
LNK-0793,Dell Latitude 3540,Used,Dell,Latitude 3540,AMD Ryzen 3 7320U,16GB,256GB,eMMC,NVIDIA GeForce RTX 3050,"15.6"" FHD 144Hz",No,65500,Kurunegala
LNK-0794,Dell Inspiron 15,New,Dell,Inspiron 15,Intel Core Ultra 7 155H,16GB,1TB,SSD NVMe,Intel Iris Xe Graphics,"14.0"" FHD",No,344500,Colombo
LNK-0795,Acer TravelMate P2,Used,Acer,TravelMate P2,AMD Ryzen 5 7520U,8GB,256GB,SSD NVMe,Intel Iris Xe Graphics,"17.3"" QHD 240Hz",No,79500,Negombo
LNK-0796,Gigabyte Aorus 15,New,Gigabyte,Aorus 15,Intel Core Ultra 5 125H,32GB,1TB,SSD NVMe,AMD Radeon Graphics,"14.0"" QHD 120Hz",No,262500,Kurunegala
LNK-0797,Lenovo IdeaPad Slim 3,Refurbished,Lenovo,IdeaPad Slim 3,Intel Core i9-14900HX,32GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4070,"14.0"" QHD 120Hz",No,449500,Negombo
LNK-0798,HP Pavilion 15,New,HP,Pavilion 15,AMD Ryzen 7 7730U,16GB,2TB,SSD NVMe,Intel Graphics,"17.3"" QHD 240Hz",No,278500,Colombo
LNK-0799,Samsung Galaxy Book4 Pro,Refurbished,Samsung,Galaxy Book4 Pro,AMD Ryzen 9 7945HX,64GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4090,"17.3"" QHD 240Hz",No,695500,Colombo
LNK-0800,Dell XPS 13,Used,Dell,XPS 13,Intel Core i7-13700H,64GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4060,"14.0"" FHD",No,251000,Anuradhapura
LNK-0801,ASUS ExpertBook B1,New,ASUS,ExpertBook B1,AMD Ryzen 5 7520U,8GB,2TB,SSD NVMe,Intel Iris Xe Graphics,"14.0"" FHD",No,202500,Anuradhapura
LNK-0802,Samsung Galaxy Book3,New,Samsung,Galaxy Book3,AMD Ryzen 5 7520U,32GB,1TB,SSD NVMe,AMD Radeon Graphics,"15.6"" FHD 144Hz",No,227000,Colombo
LNK-0803,Dell Alienware m16,Used,Dell,Alienware m16,AMD Ryzen 7 7730U,8GB,1TB,SSD NVMe,AMD Radeon Graphics,"15.6"" FHD 60Hz",No,123500,Negombo
LNK-0804,ASUS ZenBook 14,Used,ASUS,ZenBook 14,AMD Ryzen 5 7520U,8GB,256GB,SSD NVMe,NVIDIA GeForce RTX 2050,"17.3"" QHD 240Hz",No,77500,Kurunegala
LNK-0805,Apple MacBook Pro M2 Pro,Refurbished,Apple,MacBook Pro M2 Pro,Apple M3 Max (14-core),32GB,1TB,SSD NVMe,Apple M3 Max Integrated,"16.0"" WQXGA 165Hz",No,315500,Kandy
LNK-0806,Gigabyte Aero 14 OLED,Refurbished,Gigabyte,Aero 14 OLED,Intel Core i7-13700H,32GB,256GB,SSD NVMe,AMD Radeon Graphics,"16.0"" UHD+ OLED",No,219000,Galle
LNK-0807,Apple MacBook Pro M3 Max,New,Apple,MacBook Pro M3 Max,Apple M3 Pro (11-core),16GB,1TB,SSD NVMe,Apple M3 Pro Integrated,"16.0"" WQXGA 165Hz",No,361500,Negombo
LNK-0808,Dell Vostro 3520,New,Dell,Vostro 3520,AMD Ryzen 3 7320U,8GB,256GB,SSD NVMe,NVIDIA GeForce RTX 3050,"13.3"" FHD",No,95000,Anuradhapura
LNK-0809,Gigabyte Aero 14 OLED,New,Gigabyte,Aero 14 OLED,Intel Core i7-13620H,16GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4070,"15.6"" FHD 60Hz",No,397500,Colombo
LNK-0810,Microsoft Surface Pro 9,New,Microsoft,Surface Pro 9,AMD Ryzen 5 5500U,64GB,256GB,SSD NVMe,NVIDIA GeForce RTX 2050,"13.3"" FHD",No,232500,Kandy
LNK-0811,MSI Thin 15,Used,MSI,Thin 15,AMD Ryzen 5 5500U,64GB,1TB,SSD NVMe,Intel Iris Xe Graphics,"14.0"" FHD",No,147500,Kandy
LNK-0812,Acer Aspire 5,New,Acer,Aspire 5,Intel Core Ultra 7 155H,8GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4070,"16.0"" UHD+ OLED",No,478500,Kandy
LNK-0813,Apple MacBook Air M2,New,Apple,MacBook Air M2,Apple M1 (8-core),16GB,512GB,SSD NVMe,Apple M1 Integrated,"13.3"" FHD",No,242500,Kandy
LNK-0814,MSI Katana 17,Refurbished,MSI,Katana 17,AMD Ryzen 5 7640HS,8GB,256GB,SSD NVMe,Intel Graphics,"15.6"" FHD 60Hz",No,106000,Negombo
LNK-0815,Gigabyte Aero 14 OLED,Used,Gigabyte,Aero 14 OLED,AMD Ryzen 5 7640HS,8GB,1TB,SSD NVMe,Intel Iris Xe Graphics,"16.0"" WQXGA 165Hz",No,93000,Galle
LNK-0816,Gigabyte G5 KF,Refurbished,Gigabyte,G5 KF,Intel Core Ultra 5 125H,8GB,1TB,SSD NVMe,NVIDIA GeForce RTX 3050,"14.0"" FHD",No,164000,Anuradhapura
LNK-0817,Dell XPS 15,Used,Dell,XPS 15,AMD Ryzen 7 7730U,64GB,256GB,SSD NVMe,NVIDIA GeForce RTX 3050,"15.6"" FHD 60Hz",No,145000,Kandy
LNK-0818,Samsung Galaxy Book3,New,Samsung,Galaxy Book3,AMD Ryzen 7 7730U,64GB,256GB,SSD NVMe,Intel Iris Xe Graphics,"17.3"" QHD 240Hz",No,285000,Colombo
LNK-0819,Dell Inspiron 15,New,Dell,Inspiron 15,AMD Ryzen 9 7945HX,32GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4090,"16.0"" UHD+ OLED",No,946000,Colombo
LNK-0820,Lenovo LOQ 15,Used,Lenovo,LOQ 15,AMD Ryzen 3 7320U,8GB,512GB,eMMC,NVIDIA GeForce RTX 3050,"14.0"" FHD",No,59000,Kurunegala
LNK-0821,HP EliteBook 840,New,HP,EliteBook 840,Intel Core Ultra 7 155H,64GB,512GB,SSD NVMe,AMD Radeon Graphics,"16.0"" WQXGA 165Hz",No,412000,Colombo
LNK-0822,Acer TravelMate P2,Refurbished,Acer,TravelMate P2,Intel Core Ultra 7 155H,16GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4070,"15.6"" FHD 60Hz",No,386000,Colombo
LNK-0823,ASUS ExpertBook B1,New,ASUS,ExpertBook B1,Intel Core i3-1215U,64GB,256GB,SSD NVMe,Intel Graphics,"16.0"" UHD+ OLED",No,242000,Kurunegala
LNK-0824,Gigabyte Aorus 15,Used,Gigabyte,Aorus 15,Intel Core i5-13420H,8GB,256GB,SSD NVMe,NVIDIA GeForce RTX 2050,"14.0"" FHD",No,80500,Anuradhapura
LNK-0825,Microsoft Surface Pro 9,Refurbished,Microsoft,Surface Pro 9,Intel Core i7-14700HX,8GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4080,"16.0"" WQXGA 165Hz",Yes,393500,Kandy
LNK-0826,Lenovo Yoga 7i,New,Lenovo,Yoga 7i,Intel Core Ultra 7 155H,32GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4050,"15.6"" FHD 144Hz",Yes,416500,Negombo
LNK-0827,Gigabyte Aorus 15,New,Gigabyte,Aorus 15,Intel Core Ultra 7 155H,64GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4050,"15.6"" FHD 60Hz",No,470000,Colombo
LNK-0828,HP EliteBook 840,Refurbished,HP,EliteBook 840,AMD Ryzen 9 7945HX,16GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4090,"14.0"" QHD 120Hz",Yes,650500,Colombo
LNK-0829,Dell XPS 15,Used,Dell,XPS 15,Intel Core Ultra 5 125H,32GB,512GB,SSD NVMe,Intel Iris Xe Graphics,"15.6"" FHD 144Hz",No,143000,Negombo
LNK-0830,ASUS Vivobook 15,Used,ASUS,Vivobook 15,Intel Core i5-1235U,32GB,2TB,SSD NVMe,NVIDIA GeForce RTX 2050,"15.6"" FHD 144Hz",No,140000,Jaffna
LNK-0831,Samsung Galaxy Book3,Used,Samsung,Galaxy Book3,Intel Core Ultra 5 125H,8GB,1TB,SSD NVMe,NVIDIA GeForce RTX 2050,"17.3"" QHD 240Hz",No,117000,Kandy
LNK-0832,Apple MacBook Air M1,Used,Apple,MacBook Air M1,Apple M1 (8-core),8GB,512GB,SSD NVMe,Apple M1 Integrated,"13.3"" FHD",No,134500,Colombo
LNK-0833,Lenovo ThinkPad E14,Refurbished,Lenovo,ThinkPad E14,AMD Ryzen 3 7320U,8GB,256GB,SSD NVMe,NVIDIA GeForce RTX 2050,"16.0"" UHD+ OLED",No,106500,Kandy
LNK-0834,Apple MacBook Air M3,New,Apple,MacBook Air M3,Apple M1 (8-core),16GB,256GB,SSD NVMe,Apple M1 Integrated,"14.0"" QHD 120Hz",No,247500,Colombo
LNK-0835,Apple MacBook Pro M3 Max,New,Apple,MacBook Pro M3 Max,Apple M1 (8-core),16GB,256GB,SSD NVMe,Apple M1 Integrated,"16.0"" WQXGA 165Hz",No,232500,Colombo
LNK-0836,HP Pavilion 15,New,HP,Pavilion 15,Intel Core i5-1235U,64GB,1TB,SSD NVMe,Intel Iris Xe Graphics,"14.0"" QHD 120Hz",No,247500,Jaffna
LNK-0837,Microsoft Surface Laptop Studio 2,Refurbished,Microsoft,Surface Laptop Studio 2,Intel Core i5-13420H,8GB,256GB,SSD NVMe,NVIDIA GeForce RTX 3050,"13.3"" FHD",No,110500,Colombo
LNK-0838,MSI Thin 15,Used,MSI,Thin 15,AMD Ryzen 7 7730U,16GB,256GB,SSD NVMe,NVIDIA GeForce RTX 2050,"16.0"" UHD+ OLED",No,135500,Kandy
LNK-0839,Microsoft Surface Laptop Studio 2,New,Microsoft,Surface Laptop Studio 2,AMD Ryzen 5 5500U,8GB,2TB,SSD NVMe,NVIDIA GeForce RTX 3050,"16.0"" WQXGA 165Hz",Yes,220000,Colombo
LNK-0840,ASUS ROG Zephyrus G14,Used,ASUS,ROG Zephyrus G14,Intel Core i5-13420H,16GB,512GB,SSD NVMe,NVIDIA GeForce RTX 3050,"15.6"" FHD 144Hz",No,95500,Kandy
LNK-0841,Microsoft Surface Pro 9,New,Microsoft,Surface Pro 9,Intel Core Ultra 5 125H,16GB,256GB,SSD NVMe,Intel Iris Xe Graphics,"14.0"" QHD 120Hz",No,207500,Colombo
LNK-0842,Samsung Galaxy Book4 Ultra,Refurbished,Samsung,Galaxy Book4 Ultra,AMD Ryzen 3 7320U,16GB,512GB,SSD SATA,AMD Radeon Graphics,"16.0"" WQXGA 165Hz",No,104500,Negombo
LNK-0843,Samsung Galaxy Book4 Ultra,Used,Samsung,Galaxy Book4 Ultra,Intel Core i7-13700H,8GB,512GB,SSD NVMe,AMD Radeon Graphics,"13.3"" FHD",No,104500,Negombo
LNK-0844,Lenovo Yoga 7i,New,Lenovo,Yoga 7i,Intel Core i5-13420H,32GB,512GB,SSD NVMe,NVIDIA GeForce RTX 2050,"17.3"" QHD 240Hz",No,211000,Galle
LNK-0845,Microsoft Surface Pro 9,Used,Microsoft,Surface Pro 9,AMD Ryzen 3 7320U,64GB,1TB,SSD NVMe,Intel Iris Xe Graphics,"17.3"" QHD 240Hz",Yes,135500,Negombo
LNK-0846,ASUS ExpertBook B1,New,ASUS,ExpertBook B1,Intel Core Ultra 5 125H,64GB,512GB,SSD NVMe,Intel Graphics,"17.3"" QHD 240Hz",No,316000,Colombo
LNK-0847,Apple MacBook Pro M3,Refurbished,Apple,MacBook Pro M3,Apple M2 (8-core),16GB,256GB,SSD NVMe,Apple M2 Integrated,"13.3"" FHD",No,216000,Negombo
LNK-0848,HP Spectre x360,New,HP,Spectre x360,Intel Core i7-13620H,16GB,1TB,SSD NVMe,Intel Iris Xe Graphics,"15.6"" FHD 60Hz",No,219500,Kurunegala
LNK-0849,ASUS ROG Strix G16,New,ASUS,ROG Strix G16,AMD Ryzen 3 7320U,16GB,512GB,SSD SATA,Intel Graphics,"16.0"" WQXGA 165Hz",No,124500,Jaffna
LNK-0850,Lenovo IdeaPad Slim 3,New,Lenovo,IdeaPad Slim 3,Intel Core Ultra 7 155H,8GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4060,"16.0"" UHD+ OLED",No,456000,Colombo
LNK-0851,Apple MacBook Air M2,Refurbished,Apple,MacBook Air M2,Apple M3 Pro (11-core),16GB,512GB,SSD NVMe,Apple M3 Pro Integrated,"14.0"" QHD 120Hz",No,291000,Colombo
LNK-0852,Dell Latitude 3540,Used,Dell,Latitude 3540,AMD Ryzen 7 7730U,8GB,256GB,SSD NVMe,Intel Graphics,"14.0"" QHD 120Hz",No,96500,Galle
LNK-0853,MSI Raider GE78,Refurbished,MSI,Raider GE78,AMD Ryzen 5 5500U,64GB,512GB,SSD NVMe,Intel Iris Xe Graphics,"15.6"" FHD 60Hz",No,181000,Negombo
LNK-0854,Dell XPS 15,New,Dell,XPS 15,Intel Core i5-1235U,32GB,512GB,SSD NVMe,NVIDIA GeForce RTX 3050,"17.3"" QHD 240Hz",No,186500,Galle
LNK-0855,Gigabyte Aero 14 OLED,Used,Gigabyte,Aero 14 OLED,Intel Core i5-13420H,16GB,2TB,SSD NVMe,NVIDIA GeForce RTX 3050,"16.0"" WQXGA 165Hz",No,125500,Negombo
LNK-0856,Apple MacBook Pro M3,Refurbished,Apple,MacBook Pro M3,Apple M3 Max (14-core),64GB,2TB,SSD NVMe,Apple M3 Max Integrated,"14.0"" QHD 120Hz",No,361000,Kandy
LNK-0857,MSI Raider GE78,Used,MSI,Raider GE78,Intel Core i5-1235U,16GB,512GB,SSD NVMe,Intel Graphics,"17.3"" QHD 240Hz",No,94500,Colombo
LNK-0858,Acer Predator Helios 16,Refurbished,Acer,Predator Helios 16,Intel Core i7-14700HX,32GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4090,"14.0"" FHD",Yes,570500,Kandy
LNK-0859,Samsung Galaxy Book4 Pro,New,Samsung,Galaxy Book4 Pro,Intel Core i5-1235U,64GB,1TB,SSD NVMe,NVIDIA GeForce RTX 2050,"17.3"" QHD 240Hz",No,263000,Negombo
LNK-0860,Gigabyte Aorus 15,Refurbished,Gigabyte,Aorus 15,AMD Ryzen 5 7640HS,8GB,512GB,SSD NVMe,NVIDIA GeForce RTX 2050,"15.6"" FHD 60Hz",No,108000,Galle
LNK-0861,HP Spectre x360,Used,HP,Spectre x360,Intel Core i5-13420H,32GB,512GB,SSD NVMe,Intel Iris Xe Graphics,"14.0"" FHD",Yes,120500,Negombo
LNK-0862,Samsung Galaxy Book3,Refurbished,Samsung,Galaxy Book3,Intel Core i9-14900HX,32GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4080,"15.6"" FHD 144Hz",No,512000,Colombo
LNK-0863,Dell Alienware m16,Used,Dell,Alienware m16,Intel Core Ultra 7 155H,8GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4070,"16.0"" WQXGA 165Hz",No,263500,Kandy
LNK-0864,MSI Modern 14,Used,MSI,Modern 14,Intel Core i3-1215U,64GB,512GB,SSD SATA,Intel Graphics,"15.6"" FHD 60Hz",No,107500,Colombo
