Laptop_ID,Laptop,Status,Brand,Model,CPU,RAM,Storage,Storage type,GPU,Screen,Touch,Final Price (LKR)
LNK-1150,Samsung Galaxy Book4 Pro,Used,Samsung,Galaxy Book4 Pro,Intel Core Ultra 5 125H,32GB,1TB,SSD NVMe,NVIDIA GeForce RTX 3050,"14.0"" FHD",No,148500
LNK-1151,Microsoft Surface Pro 9,Refurbished,Microsoft,Surface Pro 9,Intel Core i5-13420H,16GB,512GB,SSD NVMe,NVIDIA GeForce RTX 3050,"15.6"" FHD 60Hz",No,136000
LNK-1152,Lenovo IdeaPad Slim 3,Refurbished,Lenovo,IdeaPad Slim 3,Intel Core i7-13700H,8GB,512GB,SSD NVMe,Intel Iris Xe Graphics,"17.3"" QHD 240Hz",No,138500
LNK-1153,ASUS TUF Gaming A15,Refurbished,ASUS,TUF Gaming A15,AMD Ryzen 5 7640HS,32GB,256GB,SSD NVMe,Intel Iris Xe Graphics,"15.6"" FHD 144Hz",No,136000
LNK-1154,ASUS Vivobook 15,Refurbished,ASUS,Vivobook 15,AMD Ryzen 7 7840HS,8GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4060,"16.0"" UHD+ OLED",No,263000
LNK-1155,ASUS ExpertBook B1,Refurbished,ASUS,ExpertBook B1,Intel Core i5-1235U,32GB,256GB,SSD NVMe,NVIDIA GeForce RTX 3050,"16.0"" WQXGA 165Hz",No,147500
LNK-1156,Microsoft Surface Laptop 5,New,Microsoft,Surface Laptop 5,AMD Ryzen 5 5500U,64GB,2TB,SSD NVMe,Intel Iris Xe Graphics,"14.0"" FHD",No,327000
LNK-1157,Acer Swift Go 14,Refurbished,Acer,Swift Go 14,AMD Ryzen 7 7730U,32GB,512GB,SSD NVMe,NVIDIA GeForce RTX 2050,"17.3"" QHD 240Hz",No,196000
LNK-1158,Dell Inspiron 15,Refurbished,Dell,Inspiron 15,Intel Core Ultra 7 155H,8GB,512GB,SSD NVMe,AMD Radeon Graphics,"15.6"" FHD 144Hz",No,213500
LNK-1159,Microsoft Surface Pro 9,Refurbished,Microsoft,Surface Pro 9,Intel Core Ultra 7 155H,32GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4050,"15.6"" FHD 144Hz",No,312000
LNK-1160,Dell G15 Gaming,Refurbished,Dell,G15 Gaming,Intel Core i3-1215U,64GB,256GB,SSD SATA,Intel Iris Xe Graphics,"16.0"" WQXGA 165Hz",No,150000
LNK-1161,Lenovo Legion 5 Pro,New,Lenovo,Legion 5 Pro,Intel Core i5-13420H,32GB,1TB,SSD NVMe,Intel Iris Xe Graphics,"17.3"" QHD 240Hz",No,226000
LNK-1162,Acer Nitro V 15,Refurbished,Acer,Nitro V 15,Intel Core i7-13700H,16GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4060,"13.3"" FHD",No,253500
LNK-1163,Dell Vostro 3520,Used,Dell,Vostro 3520,AMD Ryzen 7 7840HS,32GB,256GB,SSD NVMe,AMD Radeon Graphics,"15.6"" FHD 60Hz",No,136000
LNK-1164,ASUS ExpertBook B1,Refurbished,ASUS,ExpertBook B1,Intel Core i5-1235U,16GB,1TB,SSD NVMe,Intel Iris Xe Graphics,"14.0"" FHD",No,135000
LNK-1165,HP Envy x360,New,HP,Envy x360,AMD Ryzen 5 5500U,32GB,2TB,SSD NVMe,Intel Iris Xe Graphics,"16.0"" UHD+ OLED",No,282500
LNK-1166,Apple MacBook Pro M3 Max,Refurbished,Apple,MacBook Pro M3 Max,Apple M3 (8-core),16GB,512GB,SSD NVMe,Apple M3 Integrated,"14.0"" QHD 120Hz",No,297000
LNK-1167,Acer Swift Go 14,New,Acer,Swift Go 14,Intel Core i7-14700HX,32GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4080,"14.0"" QHD 120Hz",No,508000
LNK-1168,Microsoft Surface Laptop 5,Refurbished,Microsoft,Surface Laptop 5,AMD Ryzen 5 7520U,16GB,2TB,SSD NVMe,NVIDIA GeForce RTX 3050,"13.3"" FHD",Yes,187500
LNK-1169,HP Pavilion 15,New,HP,Pavilion 15,AMD Ryzen 7 7730U,8GB,256GB,SSD NVMe,NVIDIA GeForce RTX 3050,"17.3"" QHD 240Hz",No,185500
LNK-1170,Apple MacBook Air M3,New,Apple,MacBook Air M3,Apple M3 Max (14-core),64GB,1TB,SSD NVMe,Apple M3 Max Integrated,"14.0"" QHD 120Hz",No,443000
LNK-1171,Apple MacBook Air M2,Refurbished,Apple,MacBook Air M2,Apple M3 (8-core),8GB,256GB,SSD NVMe,Apple M3 Integrated,"14.0"" QHD 120Hz",No,260500
LNK-1172,MSI Katana 17,New,MSI,Katana 17,AMD Ryzen 5 7520U,8GB,1TB,SSD NVMe,NVIDIA GeForce RTX 2050,"15.6"" FHD 60Hz",No,169500
LNK-1173,Microsoft Surface Laptop 5,Used,Microsoft,Surface Laptop 5,Intel Core Ultra 5 125H,64GB,512GB,SSD NVMe,NVIDIA GeForce RTX 3050,"15.6"" FHD 144Hz",No,158000
LNK-1174,HP Pavilion 15,Refurbished,HP,Pavilion 15,AMD Ryzen 7 7730U,16GB,2TB,SSD NVMe,Intel Graphics,"14.0"" QHD 120Hz",No,190000
LNK-1175,HP Victus 16,Refurbished,HP,Victus 16,AMD Ryzen 9 7945HX,8GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4070,"16.0"" UHD+ OLED",Yes,436500
LNK-1176,Dell Latitude 3540,Used,Dell,Latitude 3540,AMD Ryzen 5 7640HS,64GB,1TB,SSD NVMe,Intel Graphics,"16.0"" UHD+ OLED",No,164500
LNK-1177,Acer Aspire 3,Refurbished,Acer,Aspire 3,AMD Ryzen 5 5500U,8GB,256GB,SSD NVMe,Intel Iris Xe Graphics,"16.0"" WQXGA 165Hz",No,111500
LNK-1178,Gigabyte Aero 14 OLED,Refurbished,Gigabyte,Aero 14 OLED,AMD Ryzen 3 7320U,64GB,512GB,eMMC,Intel Graphics,"14.0"" FHD",No,141500
LNK-1179,Microsoft Surface Pro 9,Used,Microsoft,Surface Pro 9,AMD Ryzen 7 7840HS,64GB,1TB,SSD NVMe,Intel Iris Xe Graphics,"14.0"" QHD 120Hz",No,183500
LNK-1180,HP Envy x360,Refurbished,HP,Envy x360,AMD Ryzen 9 7945HX,32GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4090,"16.0"" UHD+ OLED",No,630000
LNK-1181,Apple MacBook Air M2,New,Apple,MacBook Air M2,Apple M1 (8-core),8GB,512GB,SSD NVMe,Apple M1 Integrated,"16.0"" WQXGA 165Hz",No,221500
LNK-1182,Microsoft Surface Pro 9,New,Microsoft,Surface Pro 9,AMD Ryzen 5 7520U,32GB,512GB,SSD NVMe,Intel Iris Xe Graphics,"15.6"" FHD 144Hz",No,199500
LNK-1183,Lenovo ThinkPad E14,Refurbished,Lenovo,ThinkPad E14,Intel Core Ultra 7 155H,8GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4070,"14.0"" QHD 120Hz",Yes,343000
LNK-1184,ASUS ROG Zephyrus G14,Used,ASUS,ROG Zephyrus G14,Intel Core i9-14900HX,8GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4070,"16.0"" WQXGA 165Hz",No,309000
LNK-1185,Microsoft Surface Pro 9,Used,Microsoft,Surface Pro 9,AMD Ryzen 7 7840HS,16GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4070,"14.0"" FHD",Yes,261500
LNK-1186,MSI Prestige 14,Refurbished,MSI,Prestige 14,Intel Core i5-13420H,16GB,1TB,SSD NVMe,Intel Iris Xe Graphics,"16.0"" WQXGA 165Hz",No,149500
LNK-1187,Lenovo Yoga 7i,New,Lenovo,Yoga 7i,AMD Ryzen 5 5500U,16GB,1TB,SSD NVMe,AMD Radeon Graphics,"17.3"" QHD 240Hz",Yes,224000
LNK-1188,Apple MacBook Air M1,Refurbished,Apple,MacBook Air M1,Apple M1 (8-core),16GB,256GB,SSD NVMe,Apple M1 Integrated,"16.0"" WQXGA 165Hz",No,180500
LNK-1189,ASUS ExpertBook B1,Used,ASUS,ExpertBook B1,Intel Core i3-1215U,16GB,512GB,eMMC,NVIDIA GeForce RTX 2050,"15.6"" FHD 60Hz",No,68500
LNK-1190,Dell G15 Gaming,New,Dell,G15 Gaming,AMD Ryzen 9 7945HX,32GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4070,"14.0"" FHD",No,544000
LNK-1191,Lenovo IdeaPad Slim 3,Refurbished,Lenovo,IdeaPad Slim 3,Intel Core i5-13420H,64GB,512GB,SSD NVMe,Intel Graphics,"13.3"" FHD",No,180000
LNK-1192,MSI Raider GE78,Used,MSI,Raider GE78,Intel Core Ultra 5 125H,32GB,2TB,SSD NVMe,NVIDIA GeForce RTX 3050,"14.0"" QHD 120Hz",No,173500
LNK-1193,Acer TravelMate P2,Refurbished,Acer,TravelMate P2,AMD Ryzen 9 7945HX,64GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4090,"17.3"" QHD 240Hz",No,646000
LNK-1194,Acer Predator Helios 16,Refurbished,Acer,Predator Helios 16,AMD Ryzen 5 5500U,16GB,2TB,SSD NVMe,Intel Iris Xe Graphics,"14.0"" QHD 120Hz",No,167500
LNK-1195,HP Spectre x360,Used,HP,Spectre x360,AMD Ryzen 5 7640HS,16GB,2TB,SSD NVMe,NVIDIA GeForce RTX 2050,"16.0"" UHD+ OLED",Yes,152500
LNK-1196,Acer Swift Go 14,New,Acer,Swift Go 14,AMD Ryzen 7 7730U,8GB,1TB,SSD NVMe,AMD Radeon Graphics,"16.0"" WQXGA 165Hz",No,227500
LNK-1197,MSI Prestige 14,Refurbished,MSI,Prestige 14,Intel Core i5-1235U,32GB,2TB,SSD NVMe,Intel Graphics,"16.0"" WQXGA 165Hz",No,177000
LNK-1198,Gigabyte Aorus 15,New,Gigabyte,Aorus 15,Intel Core i7-14700HX,16GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4090,"16.0"" WQXGA 165Hz",Yes,782500
LNK-1199,ASUS Vivobook 15,New,ASUS,Vivobook 15,AMD Ryzen 5 5500U,32GB,256GB,SSD NVMe,Intel Iris Xe Graphics,"15.6"" FHD 60Hz",No,176000
LNK-1200,Dell Alienware m16,Used,Dell,Alienware m16,AMD Ryzen 5 7640HS,16GB,1TB,SSD NVMe,Intel Graphics,"16.0"" WQXGA 165Hz",No,100500
LNK-1201,Lenovo IdeaPad Slim 3,New,Lenovo,IdeaPad Slim 3,Intel Core i3-1215U,8GB,2TB,SSD SATA,Intel Iris Xe Graphics,"14.0"" QHD 120Hz",No,152000
LNK-1202,Lenovo IdeaPad Slim 3,Refurbished,Lenovo,IdeaPad Slim 3,Intel Core i7-13620H,64GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4060,"15.6"" FHD 144Hz",No,321500
LNK-1203,Samsung Galaxy Book4 Ultra,Used,Samsung,Galaxy Book4 Ultra,AMD Ryzen 7 7730U,8GB,256GB,SSD NVMe,NVIDIA GeForce RTX 3050,"14.0"" QHD 120Hz",No,96500
LNK-1204,Microsoft Surface Pro 9,Refurbished,Microsoft,Surface Pro 9,AMD Ryzen 7 7730U,8GB,1TB,SSD NVMe,AMD Radeon Graphics,"17.3"" QHD 240Hz",Yes,169500
LNK-1205,Microsoft Surface Pro 9,Refurbished,Microsoft,Surface Pro 9,AMD Ryzen 3 7320U,64GB,256GB,SSD NVMe,NVIDIA GeForce RTX 2050,"15.6"" FHD 144Hz",No,137500
LNK-1206,Samsung Galaxy Book4 Ultra,New,Samsung,Galaxy Book4 Ultra,AMD Ryzen 5 7640HS,8GB,2TB,SSD NVMe,NVIDIA GeForce RTX 2050,"16.0"" WQXGA 165Hz",No,217000
LNK-1207,Gigabyte G5 KF,Used,Gigabyte,G5 KF,Intel Core i3-1215U,64GB,512GB,SSD SATA,AMD Radeon Graphics,"17.3"" QHD 240Hz",No,115000
LNK-1208,Apple MacBook Air M2,Used,Apple,MacBook Air M2,Apple M1 (8-core),8GB,256GB,SSD NVMe,Apple M1 Integrated,"13.3"" FHD",No,125000
LNK-1209,Gigabyte Aero 14 OLED,New,Gigabyte,Aero 14 OLED,Intel Core i5-13420H,16GB,2TB,SSD NVMe,NVIDIA GeForce RTX 3050,"17.3"" QHD 240Hz",No,242000
LNK-1210,Lenovo IdeaPad Slim 3,Refurbished,Lenovo,IdeaPad Slim 3,Intel Core Ultra 7 155H,64GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4070,"14.0"" QHD 120Hz",No,462000
LNK-1211,Acer TravelMate P2,New,Acer,TravelMate P2,AMD Ryzen 9 7945HX,64GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4090,"15.6"" FHD 60Hz",No,932000
LNK-1212,Samsung Galaxy Book4 Ultra,Used,Samsung,Galaxy Book4 Ultra,Intel Core i5-13420H,8GB,2TB,SSD NVMe,Intel Iris Xe Graphics,"16.0"" UHD+ OLED",Yes,145500
LNK-1213,HP Envy x360,New,HP,Envy x360,AMD Ryzen 7 7840HS,8GB,256GB,SSD NVMe,Intel Iris Xe Graphics,"17.3"" QHD 240Hz",Yes,214000
LNK-1214,Samsung Galaxy Book4 Pro,New,Samsung,Galaxy Book4 Pro,AMD Ryzen 7 7730U,64GB,256GB,SSD NVMe,AMD Radeon Graphics,"14.0"" FHD",No,270500
LNK-1215,Acer Swift Go 14,Refurbished,Acer,Swift Go 14,AMD Ryzen 5 7520U,16GB,512GB,SSD NVMe,AMD Radeon Graphics,"15.6"" FHD 60Hz",No,140500
LNK-1216,Apple MacBook Pro M3 Max,Used,Apple,MacBook Pro M3 Max,Apple M3 (8-core),16GB,512GB,SSD NVMe,Apple M3 Integrated,"13.3"" FHD",No,217500
LNK-1217,Dell XPS 13,Used,Dell,XPS 13,AMD Ryzen 9 7945HX,8GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4080,"14.0"" QHD 120Hz",No,320500
LNK-1218,ASUS TUF Gaming A15,Used,ASUS,TUF Gaming A15,Intel Core i9-14900HX,16GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4090,"17.3"" QHD 240Hz",No,406500
LNK-1219,Gigabyte Aero 14 OLED,New,Gigabyte,Aero 14 OLED,Intel Core i5-13420H,32GB,512GB,SSD NVMe,AMD Radeon Graphics,"13.3"" FHD",No,192500
LNK-1220,MSI Modern 14,Used,MSI,Modern 14,AMD Ryzen 3 7320U,32GB,2TB,SSD SATA,NVIDIA GeForce RTX 3050,"15.6"" FHD 60Hz",Yes,121000
LNK-1221,Lenovo ThinkPad X1 Carbon,New,Lenovo,ThinkPad X1 Carbon,Intel Core Ultra 7 155H,8GB,512GB,SSD NVMe,AMD Radeon Graphics,"16.0"" UHD+ OLED",No,349500
LNK-1222,Microsoft Surface Laptop Studio 2,Refurbished,Microsoft,Surface Laptop Studio 2,AMD Ryzen 9 7945HX,16GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4070,"15.6"" FHD 60Hz",Yes,360500
LNK-1223,Microsoft Surface Laptop 5,New,Microsoft,Surface Laptop 5,Intel Core i7-14700HX,64GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4080,"14.0"" FHD",Yes,588500
LNK-1224,Gigabyte Aorus 15,Used,Gigabyte,Aorus 15,AMD Ryzen 9 7945HX,32GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4090,"14.0"" FHD",No,460500
LNK-1225,MSI Raider GE78,Refurbished,MSI,Raider GE78,AMD Ryzen 5 7520U,32GB,1TB,SSD NVMe,NVIDIA GeForce RTX 3050,"14.0"" FHD",No,171500
LNK-1226,Dell Vostro 3520,Refurbished,Dell,Vostro 3520,Intel Core i7-13700H,64GB,2TB,SSD NVMe,Intel Iris Xe Graphics,"15.6"" FHD 144Hz",No,264500
LNK-1227,MSI Raider GE78,Refurbished,MSI,Raider GE78,Intel Core i7-14700HX,8GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4080,"16.0"" WQXGA 165Hz",No,384000
LNK-1228,Samsung Galaxy Book3,Refurbished,Samsung,Galaxy Book3,AMD Ryzen 5 7520U,16GB,256GB,SSD NVMe,Intel Graphics,"17.3"" QHD 240Hz",No,114000
LNK-1229,Microsoft Surface Pro 9,Refurbished,Microsoft,Surface Pro 9,Intel Core i7-13620H,32GB,1TB,SSD NVMe,AMD Radeon Graphics,"13.3"" FHD",No,181500
LNK-1230,Acer TravelMate P2,Refurbished,Acer,TravelMate P2,AMD Ryzen 5 7640HS,8GB,1TB,SSD NVMe,AMD Radeon Graphics,"13.3"" FHD",No,135500
LNK-1231,Gigabyte Aero 14 OLED,Used,Gigabyte,Aero 14 OLED,AMD Ryzen 7 7840HS,64GB,512GB,SSD NVMe,Intel Iris Xe Graphics,"14.0"" FHD",Yes,179000
LNK-1232,Dell Vostro 3520,Used,Dell,Vostro 3520,Intel Core i7-14700HX,16GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4080,"14.0"" FHD",Yes,293500
LNK-1233,Samsung Galaxy Book4 Pro,New,Samsung,Galaxy Book4 Pro,Intel Core i3-1215U,32GB,1TB,eMMC,Intel Graphics,"16.0"" WQXGA 165Hz",No,184000
LNK-1234,MSI Prestige 14,Used,MSI,Prestige 14,Intel Core i5-1235U,8GB,512GB,SSD NVMe,NVIDIA GeForce RTX 3050,"14.0"" QHD 120Hz",No,79500
LNK-1235,Gigabyte G5 KF,Refurbished,Gigabyte,G5 KF,Intel Core i9-14900HX,64GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4090,"13.3"" FHD",No,670000
LNK-1236,HP Spectre x360,Refurbished,HP,Spectre x360,Intel Core i5-13420H,64GB,256GB,SSD NVMe,Intel Iris Xe Graphics,"14.0"" FHD",Yes,202000
LNK-1237,Dell XPS 15,Used,Dell,XPS 15,Intel Core i3-1215U,16GB,256GB,SSD NVMe,AMD Radeon Graphics,"17.3"" QHD 240Hz",Yes,74500
LNK-1238,Lenovo Yoga 7i,Used,Lenovo,Yoga 7i,Intel Core i7-13700H,32GB,256GB,SSD NVMe,Intel Iris Xe Graphics,"15.6"" FHD 144Hz",Yes,135000
LNK-1239,Microsoft Surface Pro 9,Refurbished,Microsoft,Surface Pro 9,Intel Core Ultra 5 125H,16GB,1TB,SSD NVMe,Intel Graphics,"14.0"" QHD 120Hz",No,170500
LNK-1240,Gigabyte Aorus 15,New,Gigabyte,Aorus 15,AMD Ryzen 9 7945HX,32GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4080,"17.3"" QHD 240Hz",No,692000
LNK-1241,Dell Inspiron 15,Used,Dell,Inspiron 15,AMD Ryzen 5 7640HS,16GB,512GB,SSD NVMe,NVIDIA GeForce RTX 2050,"16.0"" WQXGA 165Hz",No,99000
LNK-1242,Acer Aspire 5,Refurbished,Acer,Aspire 5,Intel Core Ultra 7 155H,8GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4070,"15.6"" FHD 60Hz",No,326000
LNK-1243,HP OMEN 16,Used,HP,OMEN 16,Intel Core i7-14700HX,64GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4080,"16.0"" WQXGA 165Hz",No,331500
LNK-1244,Microsoft Surface Laptop 5,Refurbished,Microsoft,Surface Laptop 5,Intel Core i7-13620H,32GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4060,"16.0"" UHD+ OLED",No,281000
LNK-1245,HP Envy x360,Refurbished,HP,Envy x360,AMD Ryzen 3 7320U,16GB,2TB,eMMC,Intel Graphics,"13.3"" FHD",No,145500
LNK-1246,Gigabyte Aero 14 OLED,Used,Gigabyte,Aero 14 OLED,AMD Ryzen 7 7730U,64GB,2TB,SSD NVMe,Intel Graphics,"15.6"" FHD 144Hz",No,195500
LNK-1247,Gigabyte Aero 14 OLED,Refurbished,Gigabyte,Aero 14 OLED,AMD Ryzen 3 7320U,8GB,512GB,eMMC,Intel Iris Xe Graphics,"16.0"" UHD+ OLED",No,111500
LNK-1248,Microsoft Surface Pro 9,Used,Microsoft,Surface Pro 9,Intel Core i3-1215U,16GB,512GB,SSD SATA,NVIDIA GeForce RTX 3050,"15.6"" FHD 60Hz",Yes,80000
LNK-1249,Apple MacBook Air M1,New,Apple,MacBook Air M1,Apple M3 (8-core),8GB,512GB,SSD NVMe,Apple M3 Integrated,"14.0"" QHD 120Hz",No,344000
LNK-1250,Gigabyte G5 KF,Used,Gigabyte,G5 KF,Intel Core i7-13700H,16GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4070,"15.6"" FHD 144Hz",Yes,247000
LNK-1251,MSI Thin 15,Used,MSI,Thin 15,Intel Core Ultra 5 125H,16GB,1TB,SSD NVMe,Intel Iris Xe Graphics,"17.3"" QHD 240Hz",No,122000
LNK-1252,Samsung Galaxy Book4 Ultra,Refurbished,Samsung,Galaxy Book4 Ultra,Intel Core i9-14900HX,64GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4080,"15.6"" FHD 60Hz",No,533000
LNK-1253,Dell XPS 15,New,Dell,XPS 15,AMD Ryzen 5 7640HS,32GB,1TB,SSD NVMe,NVIDIA GeForce RTX 2050,"16.0"" UHD+ OLED",No,255500
LNK-1254,Microsoft Surface Laptop 5,New,Microsoft,Surface Laptop 5,Intel Core i7-14700HX,16GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4080,"16.0"" WQXGA 165Hz",Yes,592000
LNK-1255,MSI Thin 15,Used,MSI,Thin 15,Intel Core Ultra 5 125H,16GB,2TB,SSD NVMe,Intel Graphics,"13.3"" FHD",No,149500
LNK-1256,Apple MacBook Pro M2 Pro,Used,Apple,MacBook Pro M2 Pro,Apple M2 (8-core),16GB,256GB,SSD NVMe,Apple M2 Integrated,"14.0"" QHD 120Hz",No,157000
LNK-1257,Gigabyte G5 KF,Refurbished,Gigabyte,G5 KF,AMD Ryzen 7 7730U,16GB,512GB,SSD NVMe,NVIDIA GeForce RTX 2050,"14.0"" FHD",No,153500
LNK-1258,HP ProBook 450,Refurbished,HP,ProBook 450,Intel Core i3-1215U,16GB,1TB,SSD NVMe,NVIDIA GeForce RTX 3050,"16.0"" UHD+ OLED",No,132500
LNK-1259,MSI Prestige 14,New,MSI,Prestige 14,AMD Ryzen 3 7320U,64GB,1TB,eMMC,Intel Iris Xe Graphics,"17.3"" QHD 240Hz",No,231500
LNK-1260,Apple MacBook Pro M3 Max,Refurbished,Apple,MacBook Pro M3 Max,Apple M1 (8-core),8GB,512GB,SSD NVMe,Apple M1 Integrated,"16.0"" WQXGA 165Hz",No,179500
LNK-1261,HP Envy x360,New,HP,Envy x360,AMD Ryzen 5 5500U,32GB,512GB,SSD NVMe,NVIDIA GeForce RTX 3050,"17.3"" QHD 240Hz",No,185500
LNK-1262,Acer Aspire 3,New,Acer,Aspire 3,AMD Ryzen 9 7945HX,64GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4070,"16.0"" WQXGA 165Hz",No,566500
LNK-1263,Acer Aspire 3,Used,Acer,Aspire 3,Intel Core Ultra 7 155H,16GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4070,"16.0"" UHD+ OLED",No,293500
LNK-1264,ASUS ROG Zephyrus G14,New,ASUS,ROG Zephyrus G14,AMD Ryzen 5 7520U,8GB,2TB,SSD NVMe,Intel Graphics,"14.0"" QHD 120Hz",Yes,220500
LNK-1265,Dell Vostro 3520,Refurbished,Dell,Vostro 3520,AMD Ryzen 7 7730U,32GB,1TB,SSD NVMe,NVIDIA GeForce RTX 2050,"15.6"" FHD 60Hz",No,209000
LNK-1266,Samsung Galaxy Book4 Ultra,Refurbished,Samsung,Galaxy Book4 Ultra,Intel Core i5-1235U,8GB,1TB,SSD NVMe,AMD Radeon Graphics,"13.3"" FHD",Yes,144500
LNK-1267,HP Spectre x360,Used,HP,Spectre x360,AMD Ryzen 3 7320U,64GB,2TB,SSD NVMe,Intel Graphics,"15.6"" FHD 144Hz",Yes,165000
LNK-1268,MSI Thin 15,New,MSI,Thin 15,Intel Core Ultra 7 155H,32GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4050,"16.0"" WQXGA 165Hz",No,391000
LNK-1269,MSI Katana 17,Used,MSI,Katana 17,Intel Core i7-14700HX,32GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4090,"16.0"" UHD+ OLED",No,438000
LNK-1270,Acer Aspire 3,Refurbished,Acer,Aspire 3,Intel Core i9-14900HX,8GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4090,"14.0"" QHD 120Hz",No,629500
LNK-1271,Apple MacBook Air M1,New,Apple,MacBook Air M1,Apple M2 (8-core),8GB,512GB,SSD NVMe,Apple M2 Integrated,"13.3"" FHD",No,269500
LNK-1272,Acer TravelMate P2,Used,Acer,TravelMate P2,AMD Ryzen 7 7840HS,64GB,1TB,SSD NVMe,AMD Radeon Graphics,"16.0"" UHD+ OLED",No,198000
LNK-1273,Apple MacBook Air M3,Refurbished,Apple,MacBook Air M3,Apple M3 (8-core),16GB,256GB,SSD NVMe,Apple M3 Integrated,"14.0"" QHD 120Hz",No,281000
LNK-1274,Gigabyte G5 KF,Used,Gigabyte,G5 KF,Intel Core i7-14700HX,64GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4080,"13.3"" FHD",No,351500
LNK-1275,HP ProBook 450,Refurbished,HP,ProBook 450,AMD Ryzen 5 7520U,8GB,512GB,SSD NVMe,NVIDIA GeForce RTX 3050,"16.0"" WQXGA 165Hz",No,120500
LNK-1276,Gigabyte Aero 14 OLED,Refurbished,Gigabyte,Aero 14 OLED,Intel Core i3-1215U,16GB,512GB,eMMC,AMD Radeon Graphics,"16.0"" UHD+ OLED",No,136500
LNK-1277,Acer Swift Go 14,Used,Acer,Swift Go 14,AMD Ryzen 9 7945HX,16GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4090,"14.0"" QHD 120Hz",No,509500
LNK-1278,HP Pavilion 15,Refurbished,HP,Pavilion 15,Intel Core i9-14900HX,16GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4090,"15.6"" FHD 144Hz",No,563500
LNK-1279,MSI Modern 14,Refurbished,MSI,Modern 14,AMD Ryzen 5 7520U,16GB,2TB,SSD NVMe,NVIDIA GeForce RTX 3050,"15.6"" FHD 144Hz",No,168500
LNK-1280,HP ProBook 450,Used,HP,ProBook 450,AMD Ryzen 5 5500U,64GB,512GB,SSD NVMe,NVIDIA GeForce RTX 2050,"17.3"" QHD 240Hz",No,132500
LNK-1281,Gigabyte G5 KF,New,Gigabyte,G5 KF,AMD Ryzen 5 7640HS,32GB,256GB,SSD NVMe,NVIDIA GeForce RTX 3050,"16.0"" WQXGA 165Hz",No,189500
LNK-1282,HP Victus 16,Used,HP,Victus 16,AMD Ryzen 7 7730U,64GB,2TB,SSD NVMe,Intel Graphics,"13.3"" FHD",No,181000
LNK-1283,Microsoft Surface Laptop Studio 2,New,Microsoft,Surface Laptop Studio 2,AMD Ryzen 7 7730U,8GB,1TB,SSD NVMe,NVIDIA GeForce RTX 3050,"15.6"" FHD 60Hz",Yes,244500
LNK-1284,Gigabyte Aero 14 OLED,New,Gigabyte,Aero 14 OLED,AMD Ryzen 5 7520U,8GB,2TB,SSD NVMe,NVIDIA GeForce RTX 3050,"15.6"" FHD 60Hz",No,198500
LNK-1285,Apple MacBook Pro M3,New,Apple,MacBook Pro M3,Apple M2 (8-core),16GB,256GB,SSD NVMe,Apple M2 Integrated,"14.0"" QHD 120Hz",No,277500
LNK-1286,HP Pavilion 15,New,HP,Pavilion 15,AMD Ryzen 7 7840HS,64GB,512GB,SSD NVMe,AMD Radeon Graphics,"17.3"" QHD 240Hz",No,309000
LNK-1287,Gigabyte Aero 14 OLED,Used,Gigabyte,Aero 14 OLED,Intel Core i7-13620H,32GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4060,"17.3"" QHD 240Hz",No,181500
